# Time	Temperature [K]	Pressure [Pa]
t	T	P	H2	H	O2	O	OH	HO2	H2O2	H2O	AR	N2
1e-07	1000	202650	0.00423145	2.09975e-13	0.00423145	2.3184e-15	2.07392e-15	2.19859e-13	1.39594e-18	3.50203e-16	0	0.0159103
3e-07	1000	202650	0.00423145	6.0289e-13	0.00423145	1.89662e-14	1.37126e-14	6.82174e-13	1.28607e-17	8.62275e-15	0	0.0159103
7e-07	1000	202650	0.00423145	1.3234e-12	0.00423145	8.74846e-14	4.83904e-14	1.69018e-12	7.29531e-17	7.84557e-14	0	0.0159103
1.5e-06	1000	202650	0.00423145	2.65156e-12	0.00423145	3.04285e-13	1.31554e-13	4.01095e-12	3.59767e-16	4.8977e-13	0	0.0159103
3.1e-06	1000	202650	0.00423145	5.26631e-12	0.00423145	8.63099e-13	3.18966e-13	9.81075e-12	1.73202e-15	2.55436e-12	0	0.0159103
6.29999e-06	1000	202650	0.00423145	1.10184e-11	0.00423145	2.17506e-12	7.45816e-13	2.62557e-11	8.71311e-15	1.22459e-11	0	0.0159103
1.15642e-05	1000	202650	0.00423145	2.25863e-11	0.00423145	4.82451e-12	1.60619e-12	6.96103e-11	3.86759e-14	4.70881e-11	0	0.0159103
1.7536e-05	1000	202650	0.00423145	3.97673e-11	0.00423145	8.75931e-12	2.88408e-12	1.49958e-10	1.18095e-13	1.22771e-10	0	0.0159103
2.5511e-05	1000	202650	0.00423145	7.17052e-11	0.00423145	1.60731e-11	5.2597e-12	3.26179e-10	3.45419e-13	3.0384e-10	0	0.0159103
3.48293e-05	1000	202650	0.00423145	1.27869e-10	0.00423145	2.89338e-11	9.43816e-12	6.76194e-10	9.05035e-13	6.82783e-10	0	0.0159103
4.5468e-05	1000	202650	0.00423145	2.30254e-10	0.00423145	5.2377e-11	1.70586e-11	1.36772e-09	2.20725e-12	1.45478e-09	0	0.0159103
5.67739e-05	1000	202650	0.00423145	4.21326e-10	0.00423145	9.61243e-11	3.12927e-11	2.7284e-09	5.1479e-12	3.00384e-09	0	0.0159103
7.4048e-05	1000	202650	0.00423143	1.00244e-09	0.00423143	2.29164e-10	7.46827e-11	6.99526e-09	1.55159e-11	7.92799e-09	0	0.0159102
8.78313e-05	1000	202650	0.00423141	2.01149e-09	0.00423141	4.60141e-10	1.50399e-10	1.44852e-08	3.58882e-11	1.66686e-08	0	0.0159102
0.000103536	1000.01	202650	0.00423136	4.47275e-09	0.00423136	1.02339e-09	3.3698e-10	3.26282e-08	9.26202e-11	3.81432e-08	0	0.0159101
0.000117592	1000.02	202650	0.00423126	9.18384e-09	0.00423127	2.10092e-09	7.01632e-10	6.64475e-08	2.22753e-10	7.91848e-08	0	0.01591
0.000132133	1000.05	202650	0.00423104	1.98734e-08	0.00423106	4.54333e-09	1.56226e-09	1.388e-07	6.01729e-10	1.71386e-07	0	0.0159096
0.000145312	1000.09	202650	0.00423059	4.17727e-08	0.00423065	9.53753e-09	3.4538e-09	2.70998e-07	1.64119e-09	3.56426e-07	0	0.015909
0.000157732	1000.19	202650	0.00422968	8.85748e-08	0.00422984	2.01784e-08	7.9525e-09	5.02498e-07	4.52596e-09	7.39218e-07	0	0.0159075
0.000163942	1000.29	202650	0.00422884	1.34496e-07	0.0042291	3.05889e-08	1.28247e-08	6.84312e-07	7.74364e-09	1.1035e-06	0	0.0159062
0.000173207	1000.59	202650	0.00422628	2.81405e-07	0.00422696	6.37818e-08	3.04087e-08	1.09863e-06	1.82381e-08	2.22756e-06	0	0.0159019
0.000182153	1001.29	202650	0.0042204	6.4621e-07	0.00422227	1.45824e-07	8.07715e-08	1.64933e-06	4.09498e-08	4.89325e-06	0	0.0158917
0.000188999	1002.72	202650	0.00420862	1.42669e-06	0.00421331	3.20824e-07	1.98586e-07	2.10465e-06	7.27173e-08	1.03683e-05	0	0.0158707
0.000195406	1006.04	202650	0.0041816	3.33499e-06	0.0041933	7.48e-07	4.88536e-07	2.3252e-06	1.09168e-07	2.31416e-05	0	0.0158218
0.000201026	1012.81	202650	0.00412663	7.54822e-06	0.0041531	1.69134e-06	1.10953e-06	2.30778e-06	1.30043e-07	4.93786e-05	0	0.0157229
0.00020646	1027.21	202650	0.00400933	1.79664e-05	0.00406821	4.02847e-06	2.6156e-06	2.18994e-06	1.20814e-07	0.000106024	0	0.015517
0.000209177	1040.75	202650	0.00389822	2.96592e-05	0.00398891	6.65542e-06	4.26975e-06	2.06866e-06	9.9301e-08	0.000160448	0	0.0153286
0.000212956	1077.01	202650	0.00359621	6.95261e-05	0.00377808	1.57927e-05	9.95665e-06	1.80291e-06	5.63302e-08	0.000311797	0	0.0148472
0.000216005	1142.47	202650	0.00302901	0.000173757	0.00339904	4.10493e-05	2.54975e-05	1.38702e-06	4.32345e-08	0.000608739	0	0.0140553
0.000217529	1203	202650	0.00247688	0.000303537	0.00304581	7.57329e-05	4.6685e-05	1.0605e-06	5.37971e-08	0.000911116	0	0.0133995
0.000219479	1345.09	202650	0.00125307	0.000601374	0.00226176	0.00018871	0.000114542	5.71702e-07	7.5213e-08	0.0016053	0	0.0120947
0.000221429	1529.47	202650	0.000361555	0.000625401	0.00156111	0.000328014	0.000179875	2.53182e-07	5.71569e-08	0.00210197	0	0.0107775
0.000222405	1593.54	202650	0.000270886	0.000537486	0.00143745	0.000333812	0.000190452	1.85173e-07	4.44998e-08	0.00212965	0	0.010395
0.000224355	1686.03	202650	0.000222136	0.000402424	0.00132784	0.000297949	0.000202609	1.39901e-07	3.45956e-08	0.00210708	0	0.00989571
0.000228257	1797.44	202650	0.000180785	0.000265036	0.00122999	0.000237971	0.000210971	1.00201e-07	2.38633e-08	0.00207145	0	0.00936358
0.000236059	1911.45	202650	0.000135921	0.000154091	0.00114842	0.00017422	0.000209152	6.94929e-08	1.48695e-08	0.00204519	0	0.00888406
0.000251665	2015.73	202650	9.30009e-05	7.95394e-05	0.00109131	0.000115001	0.000187578	5.03498e-08	9.30316e-09	0.00203214	0	0.00849283
0.000259467	2044.32	202650	8.0808e-05	6.32934e-05	0.00107823	9.90867e-05	0.000177741	4.51843e-08	7.9286e-09	0.00203069	0	0.00839248
0.000275072	2082.78	202650	6.40486e-05	4.29653e-05	0.00106132	7.78406e-05	0.000164613	4.04778e-08	6.28713e-09	0.00202946	0	0.00826192
0.000306282	2125.52	202650	4.51607e-05	2.42568e-05	0.00104506	5.44991e-05	0.000145586	3.78298e-08	4.61515e-09	0.00203007	0	0.00812227
